description,name,default,pstealingone,pstealingtwo,pbaseone,pbasetwo,pdistone,pdisttwo,pdistonesg,pdisttwosg
,\textbf{coreutils},,,,,,,,,
cksum,cksum,1.18,1.07,1.09,1.72,1.51,1.34,1.07,1.25,1.04
cp,cp,11.91,15.82,17.94,21.97,24.70,17.14,15.98,17.24,17.51
cut,cut,9.13,11.32,10.74,22.35,17.64,12.94,8.83,12.73,10.05
dd,dd,3.22,3.57,3.61,4.65,4.77,3.77,3.18,3.47,3.44
df,df,15.57,16.85,12.81,18.55,21.06,15.55,15.13,15.26,17.16
du,du,170.30,193.86,172.38,257.71,295.06,255.08,178.70,166.55,186.61
ls,ls,166.09,181.77,127.30,201.16,236.66,170.60,163.52,164.94,191.92
mv,mv,15.57,17.92,16.21,21.14,23.60,15.65,14.83,15.30,16.62
nohup,nohup,2.79,3.12,3.16,6.19,3.71,3.98,2.65,3.90,2.80
ptx,ptx,26.77,31.97,32.39,48.68,39.13,43.02,25.42,28.26,27.08
sort,sort,10.75,11.81,11.18,14.69,16.15,12.81,11.12,12.10,12.38
tail,tail,32.77,40.27,36.55,55.22,62.05,48.52,33.02,32.85,35.76
,\textbf{pthread},,,,,,,,,
Multithreaded wget,aget,1.94,2.08,1.90,2.41,1.67,4.19,2.48,1.94,1.33
Multithreaded web Server,knot,3.49,3.96,900.00,5.49,3.39,4.66,2.79,3.50,2.20
Multithreaded file Scanner,pfscan,0.94,1.04,0.92,0.97,0.74,0.69,0.54,0.66,0.53
Library for tracing multithreaded programs,ctrace,3.24,3.09,3.20,4.03,2.31,2.52,1.73,3.09,1.70
SMTP Open Relay Checker,smtprc,16.74,18.91,18.52,17.66,11.62,13.70,9.06,11.54,7.94
Zebedee: Secure IP tunnel,zebedee,54.28,63.78,60.48,79.51,52.94,85.35,47.03,54.80,39.27
